               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.02657,              0.0186,                   0,             0.84717,             0.83273,             0.86667,             0.60792,            0.027446,            0.017754,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027616,            0.018973,                   0,             0.89953,             0.81391,             0.85421,              0.5672,            0.027164,            0.018751,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.027466,            0.019914,                   0,             0.92474,             0.75954,             0.85635,             0.56157,             0.02823,            0.018917,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026719,            0.020162,                   0,             0.88316,             0.77818,             0.85146,             0.58199,            0.028101,            0.018289,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026248,            0.018827,                   0,             0.86157,             0.78182,             0.85943,             0.60318,            0.026531,            0.018148,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026098,            0.018515,                   0,             0.89568,             0.77818,             0.86107,             0.61312,            0.026004,            0.018531,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026411,             0.01964,                   0,             0.91091,                 0.8,             0.87001,             0.61378,            0.026062,            0.017227,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025999,            0.019141,                   0,             0.91124,             0.81818,              0.8696,             0.63167,            0.024676,            0.017408,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.023963,            0.017622,                   0,             0.89081,             0.83071,             0.86961,             0.61636,            0.025103,            0.017603,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.02476,            0.018497,                   0,             0.90675,             0.79273,             0.87194,             0.61527,            0.025557,            0.017298,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024846,            0.018648,                   0,             0.88858,             0.79636,             0.86555,             0.60809,            0.026014,            0.017074,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025419,            0.018878,                   0,             0.87792,              0.7845,             0.85952,             0.59635,            0.026309,            0.017835,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.023309,            0.017845,                   0,             0.89434,             0.79636,             0.86333,             0.62808,            0.025195,            0.018486,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023026,            0.017649,                   0,               0.888,             0.80727,             0.87067,              0.6305,            0.025121,            0.018149,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024385,            0.017748,                   0,             0.88387,             0.80261,             0.87406,              0.6311,            0.024658,            0.017821,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024065,            0.017441,                   0,             0.86771,             0.82182,             0.86488,              0.6065,            0.025476,            0.017833,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.022486,            0.017931,                   0,             0.87244,             0.82182,             0.87336,             0.61952,            0.024956,            0.017115,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022312,            0.017926,                   0,             0.85769,             0.83283,             0.87279,             0.64515,            0.024004,            0.017293,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.022891,            0.017677,                   0,             0.88757,             0.83254,              0.8713,             0.63646,            0.025169,            0.017815,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023335,            0.017498,                   0,             0.88038,             0.83636,             0.87628,              0.6272,             0.02604,            0.017029,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.021706,            0.017427,                   0,             0.91366,             0.80727,             0.87734,             0.64947,            0.023733,            0.017218,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.021989,            0.017773,                   0,             0.89253,             0.81537,             0.87112,             0.64924,            0.024026,            0.017299,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022661,            0.017525,                   0,             0.88351,             0.82182,             0.86355,             0.64011,            0.023921,            0.017356,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.021711,            0.017343,                   0,              0.8948,             0.82182,              0.8678,             0.62794,            0.024558,            0.017498,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021769,            0.017307,                   0,             0.92281,             0.78182,             0.87636,             0.62673,            0.025058,             0.01751,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021802,            0.017571,                   0,             0.89282,             0.78909,             0.86701,             0.63586,            0.024505,            0.016874,                   0,            0.003763,            0.003763,            0.003763
